批次,序号,CCD编号,名称,等级,等级说明,结论,合成/单体证据,环肽证据,口服证据,建议,来源数,来源,CCD链接,PDB示例
3,1,0JT,(4R)-4-amino-5-methylhexanoic acid,A,A级：有直接环肽/宏环强证据,保留为syringolin/glidobactin宏内酰胺残基,该β-氨基酸样单元已随天然产物及嵌合物完成合成。,4GK7直接显示其位于syringolin-glidobactin宏环蛋白酶体抑制剂中。,未找到口服暴露证据。,保留于天然宏内酰胺残基区；亲脂侧链和亲电药效团需分别评估。,2,结构与论文入口｜RCSB PDB 4GK7｜https://www.rcsb.org/structure/4GK7；宏内酰胺与合成证据｜Syringolin macrocycle study｜https://pmc.ncbi.nlm.nih.gov/articles/PMC2672505/,https://www.rcsb.org/ligand/0JT,4GK7
3,2,24M,"(1R,2R)-2-[(1S,2S)-2-amino-1-hydroxy-4-methylpentyl]cyclopentanecarboxylic acid",B,B级：可进入肽，但缺少口服环肽直接证据,保留为环戊基statine样过渡态模拟构件,已进入NVP-AMK640等BACE肽样抑制剂。,1YM4为线性肽样蛋白酶抑制剂，不是环肽。,未找到直接口服证据。,仅在蛋白酶过渡态模拟方向使用；环化兼容性需单独验证。,1,结构与论文入口｜RCSB PDB 1YM4｜https://www.rcsb.org/structure/1YM4,https://www.rcsb.org/ligand/24M,1YM4
3,3,24O,"(1R,2R)-2-[(1S,2S)-2-amino-1-hydroxy-4-methylpentyl]-4-oxocyclopentanecarboxylic acid",B,B级：可进入肽，但缺少口服环肽直接证据,保留为含酮环戊基statine样构件,已进入NVP-AUR200等BACE肽样抑制剂。,1YM2为线性肽样抑制剂，不是环肽。,未找到直接口服证据。,保留为蛋白酶抑制药效构件，不标注为增渗或口服残基。,1,结构与论文入口｜RCSB PDB 1YM2｜https://www.rcsb.org/structure/1YM2,https://www.rcsb.org/ligand/24O,1YM2
3,4,3V8,"(4S)-4-[4-(2-carboxyethyl)-1H-1,2,3-triazol-1-yl]-L-proline",A,A级：有直接环肽/宏环强证据,保留为可连接的三唑脯氨酸宏环残基,三唑化脯氨酸已用于DNA编码宏环库命中物的合成优化。,4WVU为XIAP-BIR2结合宏环拮抗剂的直接结构。,该系列有体内抗肿瘤活性，但未证明口服暴露。,适合脯氨酸构象限制及侧链延伸；继续核对具体保护体。,2,结构与论文入口｜RCSB PDB 4WVU｜https://www.rcsb.org/structure/4WVU；宏环与体内药效证据｜XIAP macrocycle study｜https://pubmed.ncbi.nlm.nih.gov/25695766/,https://www.rcsb.org/ligand/3V8,4WVU
3,5,4H0,"(3S)-3-amino-4-oxo-5-(2,3,5,6-tetrafluorophenoxy)pentanoic acid",C,C级：特殊片段，需限制用途,限用途保留为底物模拟酮基片段,其氨基酮结构出现在caspase-6底物模拟物/三元复合物中。,未找到作为稳定通用内部残基的环肽证据。,无口服证据。,移入蛋白酶底物模拟与反应片段区，不作为普通NCAA推荐。,2,结构与论文入口｜RCSB PDB 4HVA｜https://www.rcsb.org/structure/4HVA；底物模拟背景｜Caspase-6 mechanism study｜https://pubmed.ncbi.nlm.nih.gov/23227217/,https://www.rcsb.org/ligand/4H0,4HVA
3,6,6A0,(2S)-2-amino-8-(hydroxyamino)-8-oxooctanoic acid,B,B级：可进入肽，但缺少口服环肽直接证据,保留为带羟肟酸侧链的赖氨酸类似物,已进入基于组蛋白H4的HDAC肽抑制剂。,5ICN中的直接证据为线性肽抑制剂，不是宏环。,未找到口服证据。,适合HDAC金属结合专题；高极性羟肟酸不应被当作通用增渗单元。,2,结构与论文入口｜RCSB PDB 5ICN｜https://www.rcsb.org/structure/5ICN；线性肽抑制剂证据｜HDAC complex study｜https://pmc.ncbi.nlm.nih.gov/articles/PMC4848466/,https://www.rcsb.org/ligand/6A0,5ICN
3,7,6L9,"[(2S)-2,3-diamino-3-oxopropyl]propanedioic acid",A,A级：有直接环肽/宏环强证据,保留为环肽表面的双羧酸/酰胺残基,该构件已通过合成进入14-3-3结合环肽。,5JM4明确为含该残基和金刚烷残基的环肽复合物。,未找到口服证据。,可用于外露极性和盐桥扫描；多羧酸通常不利于被动渗透。,1,结构与论文入口｜RCSB PDB 5JM4｜https://www.rcsb.org/structure/5JM4,https://www.rcsb.org/ligand/6L9,5JM4
3,8,A1G,"(2S)-amino[(3R,5R,7R)-tricyclo[3.3.1.1~3,7~]decan-1-yl]acetic acid",A,A级：有直接环肽/宏环强证据,保留为金刚烷基甘氨酸宏环残基,金刚烷基甘氨酸已实际进入14-3-3结合环肽。,5JM4提供直接环肽结构证据。,未找到口服证据。,适合疏水热点填充，但需重点监测溶解度和非特异结合。,1,结构与论文入口｜RCSB PDB 5JM4｜https://www.rcsb.org/structure/5JM4,https://www.rcsb.org/ligand/A1G,5JM4
3,9,AFC,"(3R,12R)-3-amino-12-methyltetradecanoic acid",A,A级：有直接环肽/宏环强证据,保留为天然环脂肽长链β-氨基酸,该长链β-氨基酸是bacillomycin Lc等天然脂肽组成单元。,2IGZ为环状脂肽bacillomycin Lc的NMR结构。,未找到口服证据。,保留于天然环脂肽专区；不作为一般口服环肽的常规替换。,1,结构与论文入口｜RCSB PDB 2IGZ｜https://www.rcsb.org/structure/2IGZ,https://www.rcsb.org/ligand/AFC,2IGZ
3,10,CHS,4-AMINO-5-CYCLOHEXYL-3-HYDROXY-PENTANOIC ACID,B,B级：可进入肽，但缺少口服环肽直接证据,保留为环己基statine样残基,已用于天冬氨酸蛋白酶的statine类肽抑制剂。,2ER0为线性蛋白酶抑制剂复合物。,未找到直接口服证据。,仅在蛋白酶过渡态模拟方向优先。,1,结构与论文入口｜RCSB PDB 2ER0｜https://www.rcsb.org/structure/2ER0,https://www.rcsb.org/ligand/CHS,2ER0
